A0003111,94,DISCHARGING FIREARMS,2B,3696662.00000000,552722.00000000,01/01/2011 12:02:38 AM,01/01/2011 12:12:02 AM,empty,01/01/2011 12:19:09 AM,UNF,UNFOUNDED,060XX Airway St,70126,7,"(30.0133244125833, -90.01942676820143)"
A0001911,107,SUSPICIOUS PERSON,2B,3682054.00000000,532371.00000000,01/01/2011 12:02:44 AM,01/01/2011 12:02:46 AM,empty,01/01/2011 12:26:35 AM,NAT,NECESSARY ACTION TAKEN,006XX Bourbon St,70112,8,"(29.95781881107571, -90.06629127670833)"
A0002711,94F,FIREWORKS,1A,3703996.00000000,521732.00000000,01/01/2011 12:02:49 AM,01/01/2011 12:26:26 AM,empty,01/01/2011 12:44:36 AM,GOA,GONE ON ARRIVAL,025XX Eton St,70131,4,"(29.92787993418945, -89.99739694040298)"
A0002211,94,DISCHARGING FIREARMS,2B,3676541.00000000,527551.00000000,01/01/2011 12:02:55 AM,01/01/2011 12:03:01 AM,01/01/2011 12:07:17 AM,01/01/2011 01:07:31 AM,RTF,REPORT TO FOLLOW,025XX Thalia St,70113,6,"(29.944731889680263, -90.08386573166727)"
A0002611,94F,FIREWORKS,1H,3702793.00000000,557595.00000000,01/01/2011 12:02:56 AM,01/01/2011 12:47:01 AM,empty,01/01/2011 12:48:34 AM,NAT,NECESSARY ACTION TAKEN,N Coronet Ct & Parc Brittany Blv,70126,7,"(30.026528560892945, -89.99987702628111)"
A0002511,94,DISCHARGING FIREARMS,2B,3705072.00000000,555657.00000000,01/01/2011 12:03:04 AM,01/01/2011 12:05:34 AM,empty,01/01/2011 12:19:09 AM,UNF,UNFOUNDED,Eastview Dr & Hammond St,70126,7,"(30.021126690685072, -89.99274734380164)"
A0002411,21,COMPLAINT OTHER,1H,3680290.00000000,531293.00000000,01/01/2011 12:03:14 AM,01/01/2011 12:03:26 AM,01/01/2011 12:03:32 AM,01/01/2011 02:55:31 AM,NAT,NECESSARY ACTION TAKEN,Canal St & University Pl,70112,8,"(29.95490819254442, -90.07189895551566)"
A0002811,94,DISCHARGING FIREARMS,2B,3689496.00000000,545764.00000000,01/01/2011 12:03:20 AM,01/01/2011 12:04:56 AM,empty,01/01/2011 12:22:35 AM,UNF,UNFOUNDED,Almonaster Ave & Simmons Dr,70126,5,"(29.994416448138217, -90.04231515358799)"
A0003211,94,DISCHARGING FIREARMS,2B,3692882.00000000,535814.00000000,01/01/2011 12:04:02 AM,01/01/2011 12:08:27 AM,01/01/2011 12:08:49 AM,01/01/2011 01:13:57 AM,UNF,UNFOUNDED,Lesseps St & Urquhart St,70117,5,"(29.96695218330995, -90.03197622404463)"
A0003011,94F,FIREWORKS,2B,3681284.00000000,521744.00000000,01/01/2011 12:04:15 AM,01/01/2011 12:08:43 AM,empty,01/01/2011 12:08:54 AM,NAT,NECESSARY ACTION TAKEN,Felicity St & St Thomas St,70130,6,"(29.928621503060306, -90.06909295924824)"
A0003311,94F,FIREWORKS,1H,3678222.00000000,534361.00000000,01/01/2011 12:04:24 AM,01/01/2011 12:06:25 AM,empty,01/01/2011 12:12:26 AM,NAT,NECESSARY ACTION TAKEN,020XX Conti St,70112,1,"(29.963406593680034, -90.07832281258267)"
A0002911,21,COMPLAINT OTHER,1H,3705400.00000000,514865.00000000,01/01/2011 12:04:27 AM,01/01/2011 12:04:29 AM,01/01/2011 12:04:33 AM,01/01/2011 12:08:56 AM,NAT,NECESSARY ACTION TAKEN,Gen De Gaulle Dr & LA 407,70131,4,"(29.908952975784484, -89.99321840474082)"
A0003611,94,DISCHARGING FIREARMS,1B,3719638.00000000,574103.00000000,01/01/2011 12:05:05 AM,01/01/2011 12:14:10 AM,01/01/2011 12:59:30 AM,01/01/2011 01:07:15 AM,NAT,NECESSARY ACTION TAKEN,079XX Bass St,70128,7,"(30.07136898873696, -89.94601782025316)"
A0003411,56,SIMPLE CRIMINAL DAMA,1D,3684762.00000000,538521.00000000,01/01/2011 12:05:22 AM,01/01/2011 12:05:29 AM,01/01/2011 12:13:51 AM,01/01/2011 12:23:09 AM,RTF,REPORT TO FOLLOW,017XX Elysian Fields Ave,70116,5,"(29.97464656853339, -90.0575239768015)"
